dataset,dataset_spec,model,random_state,n_samples,n_features,n_classes,n_bits,rho,ds_source,ds_n_samples,ds_n_features,ds_n_classes,ari_train,ami_train,ari_test,ami_test,train_time_s,pred_time_s,n_clusters,memory_bits,variant,n_train,n_test,status,error,traceback,ds_uci_id
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,16,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0392488820943981,0.0230604959651827,1,116736.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,16,0.25,ucimlrepo,4601,57,2,0.1319706966682711,0.1683239457475052,0.1749650922706694,0.1354382904052375,0.0524096018634736,0.0341319169383496,3,350208.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,16,0.5,ucimlrepo,4601,57,2,0.0025459725825063,0.0343199445755395,0.0106833392268284,0.1044926465506168,10.776730749057606,9.704431093065068,1769,206505984.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,16,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0043333556582495,0.0774262355896997,13.038494481006635,12.38499298505485,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,16,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0043333556582495,0.0774262355896997,13.341645444044843,12.905828946037218,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,1,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0043336539529263,0.0011345949023962,1,7296.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,1,0.25,ucimlrepo,4601,57,2,0.0858092849148346,0.1487094860060877,-0.0203029010399392,0.0153983353741439,0.0042425189167261,0.0014304569922387,3,21888.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,1,0.5,ucimlrepo,4601,57,2,-0.020725552690885,0.0630567645911192,-0.0166291522568998,0.060871502290093,0.0392836749088019,0.0168849690817296,72,525312.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,1,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.018528758080595,0.056968076730213,0.8541478600818664,0.5585075381677598,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,1,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.018528758080595,0.056968076730213,0.8415121478028595,0.5505567148793489,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,4,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0088498189998063,0.0061913579993415,1,29184.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,4,0.25,ucimlrepo,4601,57,2,0.026338719146873,0.008312313973729,0.0319982669901468,0.0277867105044855,0.0108024950604885,0.0073914038948714,2,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,4,0.5,ucimlrepo,4601,57,2,0.0107176197044542,0.0722552451019397,0.0187250397185767,0.0882543687385547,0.5315944189205766,0.3836170539725572,320,9338880.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,4,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0156750388946087,0.0781729638099136,3.1170139610767365,2.7804145929403603,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,4,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0156750388946087,0.0781729638099136,3.2078352589160204,2.77286021807231,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,8,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0173979359678924,0.0086267448496073,1,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,8,0.25,ucimlrepo,4601,57,2,0.188442462769455,0.1718941036050716,0.1237415407269402,0.101581263216495,0.0313851491082459,0.0190547981765121,3,175104.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,8,0.5,ucimlrepo,4601,57,2,0.0162499500956214,0.0583083651394428,0.0231193723997329,0.0975490246765985,2.969774367986247,2.554839084856212,1055,61578240.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,8,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0212244584008615,0.0806735036360945,6.518642093986273,6.00235586008057,2300,134246400.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,8,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0212244584008615,0.0806735036360945,6.589544621994719,5.674715190194547,2300,134246400.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,16,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0388404089026153,0.022991850040853,1,116736.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,16,0.25,ucimlrepo,4601,57,2,0.3190252886129822,0.3436746525308264,0.1105980174388635,0.0995648172565046,0.0533823301084339,0.0337433400563895,3,350208.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,16,0.5,ucimlrepo,4601,57,2,0.0033158901160909,0.0388203823383765,0.0118965508006621,0.1089864816996486,10.497187279164793,9.450241358950734,1727,201603072.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,16,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0040619162665264,0.0712972455239363,13.47931532887742,12.544542353134602,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,3,4601,57,2,16,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0040619162665264,0.0712972455239363,13.200772678999783,12.702687049000817,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,1,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0040978549513965,0.0011821091175079,1,7296.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,1,0.25,ucimlrepo,4601,57,2,0.0879536487027628,0.1548216727384626,-0.0171112321819335,0.030352183038697,0.0044560169335454,0.0014910420868545,3,21888.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,1,0.5,ucimlrepo,4601,57,2,-0.0195467343943131,0.0522883989839304,-0.0189779669835326,0.0687081053066261,0.0388497610110789,0.0166616200003772,72,525312.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,1,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0189576272517722,0.0670781419062144,0.8329730089753866,0.5524755991064012,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,1,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0189576272517722,0.0670781419062144,0.8311407468281686,0.5513266320340335,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,4,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0091532219666987,0.0063903941772878,1,29184.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,4,0.25,ucimlrepo,4601,57,2,0.0403995830505979,0.0207323456713853,0.0363118446090767,0.0425066796280131,0.0097322838846594,0.0063268120866268,2,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,4,0.5,ucimlrepo,4601,57,2,0.0152902663520942,0.0659210999311687,0.0115975504179521,0.0867954205135188,0.537063951998789,0.3846004309998534,317,9251328.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,4,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0097525065077616,0.0810254942031472,3.094564094208181,2.7606672069523484,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,4,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0097525065077616,0.0810254942031472,3.175390465883538,2.8304873870220035,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,8,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0170085278805345,0.0084942260291427,1,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,8,0.25,ucimlrepo,4601,57,2,0.0679097004809497,0.0412467162882655,0.0994658597944943,0.0949389969717887,0.0218703600112348,0.0139632700011134,3,175104.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,8,0.5,ucimlrepo,4601,57,2,0.0179847987637622,0.058393506670362,0.0239308934558603,0.0972660417896096,3.10075680189766,2.6267478200607,1045,60994560.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,4,4601,57,2,8,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.01986925253692,0.0805948643272001,7.483920703176409,6.9603328900411725,2300,134246400.0,binary,2300,2301,ok,,,94.0
